0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:11:13 +0800] "GET /OnlineChatting/exit.jsp HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:14:39 +0800] "GET /OnlineChatting/login.jsp HTTP/1.1" 200 2366
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:14:39 +0800] "GET /OnlineChatting/css/head.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:14:39 +0800] "GET /favicon.ico HTTP/1.1" 404 1020
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:14:45 +0800] "POST /OnlineChatting/loginProcess HTTP/1.1" 200 7291
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:14:45 +0800] "GET /OnlineChatting/msg.jsp HTTP/1.1" 200 2361
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:18:37 +0800] "GET /OnlineChatting/login.jsp HTTP/1.1" 200 2366
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:18:44 +0800] "POST /OnlineChatting/loginProcess HTTP/1.1" 200 7352
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:18:44 +0800] "GET /OnlineChatting/msg.jsp HTTP/1.1" 200 2361
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:19:21 +0800] "GET /OnlineChatting/loginProcess HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:19:21 +0800] "GET /OnlineChatting/login.jsp HTTP/1.1" 200 2366
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:19:21 +0800] "GET /OnlineChatting/css/head.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:19:32 +0800] "POST /OnlineChatting/loginProcess HTTP/1.1" 200 7413
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:19:32 +0800] "GET /OnlineChatting/msg.jsp HTTP/1.1" 200 2361
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:19:42 +0800] "POST /OnlineChatting/getMsg HTTP/1.1" 200 7944
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:19:42 +0800] "GET /OnlineChatting/msg.jsp HTTP/1.1" 200 2822
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:19:54 +0800] "GET /OnlineChatting/exit.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:19:54 +0800] "GET /OnlineChatting/login.jsp HTTP/1.1" 200 2366
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:20:00 +0800] "POST /OnlineChatting/loginProcess HTTP/1.1" 200 7944
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:20:00 +0800] "GET /OnlineChatting/img/emotion_smile.png HTTP/1.1" 304 -
